report_no,date_documented,date_time_found,year_found,month,hour,season,country,location,latitude,longitude,UFO_shape,length_of_encounter_seconds,distance_to_nearest_airport_km,description
29,3/9/2004,2/9/1986 23:00,1986,2,23,Winter,Malaysia,Pahang,3.139623,102.379101,Unspecified,60.0,75.1299613343923,Sharp turning flying object with orange light in Malaysia. Year 1986 Feb 9th.
30,1/17/2004,04/25/1987 14:30,1987,4,14,Spring,Philippines,Mansilingan,10.640739,122.968956,Light,120.0,4.37372131693624,Daylight &quot;disc&quot; ? Over Negros Island&#44 Philippines&#44 by amateur astronomer working on Observatory dome
31,2/14/2006,09/15/1987 02:00,1987,9,2,Autumn,Philippines,Zambales,14.83863,120.284202,Triangle,1800.0,27.7825690512514,Philippine naval base sighting of a ufo/uso with binoculars in hand
32,7/16/2006,1/1/1991 20:00,1991,1,20,Winter,Brunei,Bandar Seri Begawan,4.890278,114.942222,Other,15.0,6.39319569625042,closest encounter with a UFO - 30-40 feet away
33,1/11/2002,6/1/1994 21:00,1994,6,21,Summer,Philippines,Romblon,12.879721,121.774017,Sphere,5.0,53.7998230729948,blue light flying sphere
34,8/21/2011,05/27/1995 03:00,1995,5,3,Autumn,Laos,Luang Prahbang,19.889271,102.133453,Triangle,120.0,3.00579301411437,"It was a triangular craft motionless with flasfing lights, suddenly it flipped over and took off at amazing speed it never made a sound"
35,2/12/2004,02/14/1995 19:45,1995,2,19,Winter,Malaysia,Selangor,3.043061,101.440657,Fireball,480.0,30.1209086641525,The sun was setting&#44 was in car with my mother heading home from grocery store.saw floating fireballs like in the sky. tought they
36,12/16/2005,04/22/1996 05:00,1996,4,5,Spring,Philippines,Romblon,12.879721,121.774017,Formation,180.0,53.7998230729948,It about during the easter festivities that year when I saw three red-orange dots came together from different sides to form a perfect
37,12/2/2000,11/30/1997 02:00,1997,11,2,Autumn,Philippines,Quezon,13.960106,122.541582,Light,300.0,38.6907262567875,Multi-colored &quot;pole&#44&quot; appearing to hang in the sky for several minutes before dissipating slowly&#44 from top to bottom&#44 into darkness.
38,8/28/2002,4/1/1997 20:00,1997,4,20,Spring,Singapore,Singapore,1.352083,103.819836,Disk,5.0,8.0569022966556,i saw this couple of years ago. never know abt this site until recently. i was staring at the skys for stars that nite&#44 suddenly&#44 i saw
39,3/4/2003,6/1/1997 15:00,1997,6,15,Summer,Singapore,Singapore,1.352083,103.819836,Other,7200.0,8.0569022966556,Star-Like Shaped Cruised From South To North
40,4/2/1999,11/1/1997 23:00,1997,11,23,Autumn,Thailand,Prachuap Khiri Khan Province,12.568375,99.957689,Rectangle,15.0,7.33318005126427,Shape of a foot-long ruler.  Seemingly semi-transparant.  4 glowing spots (not blinking) arranged evenly accross bottom.  High and extr
41,3/7/1998,12/24/1997 10:05,1997,12,10,Winter,Thailand,Phuket Province,7.880448,98.39225,Formation,615.0,27.1537458316959,12 slow moving red/orange pulsating objects over Phuket&#44 Thailand about 10:05 on Christmas Eve.
42,8/20/2001,02/22/1998 23:30,1998,2,23,Winter,Philippines,Zambales,15.332977,119.975756,Triangle,900.0,1.06150094112845,A triangular UFO full of white lights and a blue and red light on each wing.
43,5/15/2006,3/1/1998 20:00,1998,3,20,Spring,Philippines,Capitol Site,10.315699,123.885437,Other,5263200.0,10.2714285174344,End of the Century UFO
44,11/26/2003,7/8/1998 17:16,1998,7,17,Summer,Philippines,Leyte,10.370812,124.753367,Changing,600.0,78.8916328549621,the object had landed in the other hill on the other side of the village we could still see it
45,11/1/1998,8/9/1998 19:20,1998,8,19,Summer,Singapore,Singapore,1.352083,103.819836,Other,600.0,8.0569022966556,I were on the express way when i saw an object in the sky about 200meter far looks like the Stealth floating in the sky. Many people ha
46,10/19/1999,10/5/1999 10:57,1999,10,10,Autumn,Malaysia,Sabah,6.168561,116.234834,Fireball,240.0,32.8052620075017,2 glowing fireball (white blue) crossing from west coast going to Mt. Kinabalu direction. Elevation more than ten thousands feet approx
47,3/21/2003,01/17/1999 00:45,1999,1,0,Winter,Malaysia,Selangor,3.090607,101.529597,Fireball,30.0,19.3996911229828,We saw a green fire ball moving fast between the cloud for about 30 secs. with no sound or and fast.
48,12/2/2000,12/28/1999 16:28,1999,12,16,Winter,Malaysia,Sabah,5.976474,116.115777,Disk,120.0,8.40170620854445,Shiny metallic object&#44 disc shaped&#44 silent and hovering.
49,6/23/1999,05/24/1999 04:30,1999,5,4,Spring,Malaysia,Negeri Sembilan,2.718592,101.948988,Other,120.0,26.718424938726,Mohd Fahmi&#44 a Malaysian boy wakes up hearing sound of zinc roof being blown by strong winds.  Saw blindingly bright craft hovering near
50,8/28/2003,06/15/1999 10:00,1999,6,10,Summer,Malaysia,Johor,1.46343,103.754715,Oval,30.0,7.63992092972648,maybe a shadow of an invisible UFO. maybe there can disguise like the sky&#44 but still there will be shadow for it
51,6/23/1999,5/7/1999 21:00,1999,5,21,Spring,Philippines,Misamis Occidental,8.148388,123.837149,Triangle,5.0,54.716765146857,w shape with lights on its side &#44i thought it was a migratotry bird  or a stealt flying in the night but it could not be a bird because
52,8/1/2003,04/20/2000 05:25,2000,4,5,Spring,East Timor,Ainaro,-9.011317,125.522001,Unspecified,45.0,41.4424024258747,There were three to four evenly spaced lights approx. 3 to 4 feet in diameter&#44 no craft visible&#44 no sound.
53,12/2/2000,10/14/2000 18:43,2000,10,18,Autumn,Malaysia,Pahang,3.824973,103.3239,Sphere,300.0,13.9066245253914,I&#39m the Chinese which has staying in Malaysia (Asia Country). I saw the crafts which look like sphere shape flying in the sky for about
54,9/24/2012,04/15/2000 22:30,2000,4,22,Spring,Malaysia,Kuala Lumpur,3.139003,101.686855,Triangle,2700.0,3.49698434422757,At the time of my UFO siting I was on a business trip with two of my colleagues in Malaysia. We were having dinner at one of the restau
55,9/17/2000,08/23/2000 16:00,2000,8,16,Summer,Malaysia,Kuala Lumpur,3.139003,101.686855,Other,2.0,3.49698434422757,there was only one object&#44it was like falling down&#44 while the time it falling down&#44 it shown a &#39V&#39 shape&#44 i believe it was a UFO&#44 becau
56,12/2/2000,09/20/2000 15:30,2000,9,15,Autumn,Malaysia,Sabah,5.976474,116.115777,Cigar,480.0,8.40170620854445,glowing white cigar shaped cylindrical object
57,2/16/2000,02/14/2000 18:00,2000,2,18,Winter,Philippines,Aklan,11.96735,121.924759,Light,1200.0,58.7123735116613,The half-moon was directly over head&#44  it looked like a star&#44same brifgtness&#44 size&#44 moving n.e. 1st one 6;50 PM IT TOOK acount of 40 mi
58,6/21/2000,06/14/2000 21:30,2000,6,21,Summer,Philippines,Romblon,12.879721,121.774017,Circle,3600.0,53.7998230729948,four white lights&#44 almond shaped revolving around a big invisible cirle&#44 crossing the center&#44 our cellphones were misfunctioning.
59,4/26/2000,04/23/2000 02:30,2000,4,2,Spring,Singapore,Singapore,1.352083,103.819836,Light,900.0,8.0569022966556,4 oval white lights circulating in the night sky.
60,5/4/2004,03/25/2000 19:00,2000,3,19,Spring,Vietnam,Ho Chi Minh,10.762622,106.660172,Light,5.0,6.38326611778527,Two green lights travelling at incredible speed.
61,8/5/2001,03/28/2001 00:01,2001,3,0,Spring,Brunei,Bandar Seri Begawan,4.890278,114.942222,Light,20.0,6.39319569625042,Light emitting object sighted over Bandar Seri Begawan&#44 Brunei.
62,10/12/2001,8/15/1978  15:30:00,1978,8,15,Autumn,Cambodia,Kranglvea,11.967,104.567,Oval,120.0,32.0257997683527,"During the massacre regime 1975-1979, I had seen UFO two time. One, in 1977 when I fell down from the tree, one of my legs was injuredت"
63,2/18/2001,01/22/2001 22:30,2001,1,22,Winter,Malaysia,Perak,4.461934,101.166062,Disk,1500.0,14.3700608252887,6 UFOs appeared above an orphange in Malaysia entertaining kids with unique flight formations
64,2/18/2001,01/31/2001 23:45,2001,1,23,Winter,Malaysia,Penang,5.41792,100.329597,Disk,1200.0,8.647580019402,Orange UFOs
65,2/18/2001,02/15/2001 00:30,2001,2,0,Winter,Malaysia,Selangor,3.509247,101.524805,Circle,300.0,48.3988755362438,Round orange light moved across the sky then stopped and got smaller
66,2/18/2001,2/7/2001 23:30,2001,2,23,Winter,Malaysia,Selangor,3.010688,101.42114,Formation,900.0,33.262447847183,Triangular formation of 3 crafts in the sky for 15 minutes
67,8/5/2001,05/21/2001 20:00,2001,5,20,Spring,Malaysia,Kuala Lumpur,3.139003,101.686855,Sphere,7200.0,3.49698434422757,I was in a bedroom when my sister called me and ask me to watch out over a weird object in the sky . Then i go to see it at my verandah
68,10/12/2001,09/29/2001 21:00,2001,9,21,Autumn,Malaysia,Perak,4.61175,101.113506,Fireball,1800.0,5.4173830201522,2 orange fireball&#44 appears and disappers in like playing with thier lights. Suddenly appears another fireball glowing for few minutes a
69,4/28/2001,4/9/2001 12:05,2001,4,12,Spring,Philippines,Las Pinas,14.6333,121.0333,Oval,300.0,13.9069414847018,Daytime UFO with Alien on Board.  See pictures at:  www.txtct.com
70,3/4/2003,03/15/2001 18:00,2001,3,18,Spring,Singapore,Singapore,1.352083,103.819836,Teardrop,600.0,8.0569022966556,Two Dots
71,8/5/2001,6/2/2001 05:20,2001,6,5,Summer,Singapore,Singapore,1.352083,103.819836,Light,600.0,8.0569022966556,unusual big bright light in the sky
72,8/20/2001,8/12/2001 18:30,2001,8,18,Summer,Singapore,Singapore,1.352083,103.819836,Fireball,900.0,8.0569022966556,This was reported on Channel News Asia (www.channelnewsasia.com.sg).  http://sg.cna.mediacorpnews.com/articles/2001/08/14/singaporenews
73,8/28/2002,09/16/2001 20:30,2001,9,20,Autumn,Singapore,Singapore,1.352083,103.819836,Circle,480.0,8.0569022966556,they have light all round their carft.
74,10/12/2001,09/22/2001 21:45,2001,9,21,Autumn,Singapore,Singapore,1.352083,103.819836,Disk,900.0,8.0569022966556,&#39UFO&#39 sighted over Jurong West
75,11/20/2001,11/19/2001 01:30,2001,11,1,Autumn,Thailand,Bangkok,13.727896,100.524123,Circle,15.0,22.3418677926901,Round glowing circular object moving very fast toward western over Bangkok sky in Thailand. High altitude&#44 very rapidly moving lights.
76,7/16/2006,7/4/2001 00:00,2001,7,0,Summer,Thailand,Songkhla Province,7.189766,100.595381,Chevron,5.0,1.45375997649376,green bright light &#44high luminescence &#44flew from east to west
77,10/15/2002,3/10/2002 22:16,2002,3,22,Spring,Brunei,Bandar Seri Begawan,4.890278,114.942222,Fireball,300.0,6.39319569625042,Spotted glowing green translucent object near Chung Hwa Middle School in Brunei Darussalam.
78,9/28/2002,09/19/2002 02:00,2002,9,2,Autumn,Indonesia,North Sumatra,3.591541,98.6693,Triangle,300.0,3.74160657737593,Silent&#44 bright&#44 triangle shape&#44 high spped and high altitude
79,12/23/2002,10/28/2002 22:00,2002,10,22,Autumn,Malaysia,Kuala Lumpur,3.139003,101.686855,Fireball,900.0,3.49698434422757,it was a red light fire ball that move slowly through the city in malaysia
80,10/15/2002,10/8/2002 19:02,2002,10,19,Autumn,Malaysia,Sabah,5.976474,116.115777,Other,180.0,8.40170620854445,US training in Borneo islands or just another strange sights&#33&#33&#33&#33
81,6/12/2002,05/19/2002 16:30,2002,5,16,Spring,Malaysia,Sarawak,4.333131,113.99486,Other,60.0,1.18151931983658,I was in my car on my way to town with my mum and brother when i look out the car and saw something in the sky to the west. At first i
82,8/16/2002,8/11/2002 20:00,2002,8,20,Summer,Malaysia,Selangor,3.107094,101.608255,Light,600.0,10.5337870240508,UFO Three&#39s company
83,9/19/2002,09/13/2002 21:15,2002,9,21,Autumn,Malaysia,Selangor,3.090607,101.529597,Light,600.0,19.3996911229828,Bright  flickering orange lights seen on a clear night sky
84,10/15/2002,10/14/2002 19:30,2002,10,19,Autumn,Philippines,Balulang,8.454236,124.631898,Circle,300.0,5.02997833027896,My boyfriend and I went outside the firexit stairs on a 4 sorey building&#44 where the fm radio station is. My boyfriend first saw a white
85,2/1/2007,10/29/2002 22:37,2002,10,22,Autumn,Philippines,Romblon,12.879721,121.774017,Changing,180.0,53.7998230729948,ufo appeared at the sky while we&#39re eating
86,12/9/2003,11/23/2002 20:45,2002,11,20,Autumn,Philippines,Romblon,12.879721,121.774017,Unspecified,900.0,53.7998230729948,It was night of the month of november&#44 there was an electric failure&#44 so the whole place was dark. Me and my sister are fond of looking
87,7/26/2002,06/28/2002 13:30,2002,6,13,Summer,Philippines,South Cotabato,6.216667,125.066667,Cigar,7.0,17.9385390452108,An object&#44 a wingless aircraft&#44 resembling a giant silver colored cucumber the size of a modern Airbus hovers motionless approximately
88,12/12/2011,03/15/2003 19:30,2003,3,19,Spring,Cambodia,Siem Reap,13.691538,104.100133,Disk,60.0,44.0056901346836,Very close observation of a disc shaped craft.
89,10/31/2003,10/12/2003 00:00,2003,10,0,Autumn,Indonesia,Central Java,-7.33683,110.498817,Disk,22.0,34.7467114812463,UFO in Salatiga&#44Indonesia
90,3/21/2003,01/17/2003 21:30,2003,1,21,Winter,Malaysia,Johor,1.537886,103.660874,Disk,300.0,11.5012746018226,a disk shape object moving with high speed
91,12/19/2003,12/15/2003 18:00,2003,12,18,Winter,Malaysia,Kedah,5.664394,100.901578,Circle,240.0,60.6596663370797,the object flying over the coconut thress for about 4 minutes and then disappeared.
92,3/21/2003,2/1/2003 00:45,2003,2,0,Winter,Malaysia,Penang,5.263234,100.484623,Light,10.0,23.2932517478874,12 Objects With Yellow Light At 12:45 a.m.
93,3/21/2003,2/1/2003 00:45,2003,2,0,Winter,Malaysia,Pahang,3.792596,101.858394,Fireball,1200.0,77.619344575488,Red moving objects in the sky.
94,3/21/2003,2/1/2003 19:30,2003,2,19,Winter,Malaysia,Johor,1.537886,103.660874,Fireball,180.0,11.5012746018226,saw UFO again and again
95,3/21/2003,2/1/2003 00:45,2003,2,0,Winter,Malaysia,Kuala Lumpur,3.139003,101.686855,Unspecified,300.0,3.49698434422757,4 glowing and moving objects&#44 halogen colour&#44 slightly bigger than a tennis ball.  The sky was very clear with patches of white clouds.
96,3/21/2003,2/3/2003 01:52,2003,2,1,Winter,Malaysia,Selangor,3.013086,101.613804,Light,900.0,14.8007067585617,strange object with amber lights able to travel at a speed I have never seen before
97,7/16/2003,06/23/2003 23:10,2003,6,23,Summer,Malaysia,Kuala Lumpur,3.139003,101.686855,Oval,210.0,3.49698434422757,So gra...eat
98,4/22/2003,4/2/2003 06:00,2003,4,6,Spring,Philippines,Eastern Manila District,14.676041,121.0437,Disk,300.0,18.7633192163191,i was walking in our newly bought land at the province when suddenly i caughta glimpse at a mysterious saucer-like object in the sky. a
99,8/28/2003,07/27/2003 16:25,2003,7,16,Summer,Philippines,Agus,10.266182,123.997295,Disk,30.0,5.0624572255383,I am looking at the clear skies near near the airplane path from Davao City to Cebu City. I was at my verandah in my home&#44 when I saw t
100,8/28/2003,8/9/2003 21:15,2003,8,21,Summer,Philippines,Romblon,12.879721,121.774017,Light,120.0,53.7998230729948,formation of lights surrounding an unusual figure shaped like a fish
101,9/4/2003,08/26/2003 13:00,2003,8,13,Summer,Singapore,Singapore,1.352083,103.819836,Unspecified,120.0,8.0569022966556,Moon-like object spotted up in the sky next to the sun during the afternoon
102,3/9/2004,11/20/2003 22:00,2003,11,22,Autumn,Thailand,Surat Thani Province,9.512017,100.013593,Changing,3600.0,6.64735717540081,Dramatic prove of E.T. visiting earth&#33
103,8/11/2004,8/7/2004 00:30,2004,8,0,Summer,Indonesia,Kelapa Gading Barat,-6.15129,106.89078,Oval,120.0,12.755193219428,Morphing glowing orange oval object seen on a flight from Jakarta to Tokyo
104,8/24/2004,02/22/2004 17:59,2004,2,17,Winter,Malaysia,Sarawak,2.557429,113.001199,Other,14400.0,68.5022882904566,UFO bird style.
105,4/27/2004,04/21/2004 05:45,2004,4,5,Spring,Malaysia,Negeri Sembilan,2.718592,101.948988,Other,300.0,26.718424938726,Strange star busting through the sky.
106,4/9/2004,4/8/2004 18:50,2004,4,18,Spring,Malaysia,Kuala Lumpur,3.139003,101.686855,Disk,600.0,3.49698434422757,i saw it in bright daylight&#44 and i cant figure out what artificial aircraft is so ...........
107,4/27/2004,04/21/2004 05:45,2004,4,5,Spring,Malaysia,Kuala Lumpur,3.13192,101.684059,Disk,120.0,3.05432804430715,HBCCUFO CANADIAN REPORT:  A black object which was hovering close by.
108,7/25/2004,07/24/2004 20:28,2004,7,20,Summer,Malaysia,Kuala Lumpur,3.139003,101.686855,Other,5.0,3.49698434422757,star shape object moving at high speed in a straight line. blinking and after 5 sec&#44 it was blocked from view by heavy clouds. object r
109,7/6/2010,11/16/2004 17:44,2004,11,17,Autumn,Myanmar,Yangon,16.8,96.15,Light,60.0,12.03461385062,7 sequence pics of UFO taken in Burma(Myanmar)
110,11/9/2004,11/2/2004 22:00,2004,11,22,Autumn,Philippines,Mandaluyong,14.579444,121.035917,Disk,300.0,8.04185646826129,saucer in the sky&#33
111,4/9/2004,4/6/2004 22:00,2004,4,22,Spring,Philippines,Mansilingan,10.640739,122.968956,Cone,10800.0,4.37372131693624,At exactly 10:00 p.m. me and some of my friends and neighbors have seen a coned shaped glowing object at the sky. As we looked through
112,4/9/2004,4/7/2004 21:00,2004,4,21,Spring,Philippines,Negros Occidental,10.9,123.083333,Disk,900.0,33.1792827532484,brighter light
113,4/27/2004,4/7/2004 23:00,2004,4,23,Spring,Philippines,Mansilingan,10.640739,122.968956,Circle,10.0,4.37372131693624,We saw a changing colors circular object here in Bacolod City
114,1/27/2005,12/26/2004 22:30,2004,12,22,Winter,Thailand,Kamphaeng Phet Province,16.414106,99.771069,Light,2700.0,67.9129040739764,Whilst holidaying on the island of Koh Phangan Thailand 10 of us witnessed an extra large red pulsating star like object in the sky(we
115,5/10/2004,5/7/2004 23:48,2004,5,23,Spring,Thailand,Bangkok,13.727896,100.524123,Light,900.0,22.3418677926901,Floating star like objects (hundreds) rising up slowly in the sky&#44 looks like small red stars visible for 10-15mins before dissapearing
116,11/9/2004,08/18/2004 23:30,2004,8,23,Summer,Thailand,Bangkok,13.727896,100.524123,Light,300.0,22.3418677926901,Houndreds of strance red lights floating accross the night sky.
117,5/11/2005,03/20/2005 05:40,2005,3,5,Spring,Brunei,Seria,4.6,114.333333,Circle,300.0,46.9249719229607,Circular UFO hovering in the sky and leaving afterwards.
118,5/15/2006,05/15/2005 19:55,2005,5,19,Spring,Philippines,Basak,10.294884,123.961941,Circle,1196.0,2.36856343745255,This happened last May 2005. Every night I always watch the night sky to see the star&#44Polaris. But as I was wathcing the star&#44 a craft
119,4/16/2005,01/30/2005 19:30,2005,1,19,Winter,Thailand,Chiang Mai Province,18.787744,98.993119,Sphere,300.0,78.6761304566394,Orange sphere in skies above Chiang Mai
120,10/11/2005,9/10/2005 12:00,2005,9,12,Autumn,Thailand,Lampang Province,18.141982,99.428349,Unspecified,120.0,16.5187288838957,Several people in Mae Chang (Chiang Mai&#44 Northern Thailand) witnessed a strange creature.
121,5/15/2006,01/15/2006 18:00,2006,1,18,Winter,Indonesia,West Java,-6.388877,106.830069,Oval,180.0,9.30504327847311,6 lights flown over dark clouds
122,2/14/2006,2/5/2006 21:00,2006,2,21,Winter,Indonesia,West Java,-6.249028,106.996952,Unspecified,15.0,11.8622149877781,and unidentified flying object had three lights&#44 the color of the light is red&#44green&#44and blue
123,5/15/2006,01/15/2006 18:00,2006,1,18,Spring,Indonesia,Central Java,-6.883333,109.666667,Light,120.0,78.8210616015137,the images can be found at ((deleted)).  ((NUFORC Note:  Small&#44 blurry&#44 indistinct object.  PD))
124,10/31/2008,09/22/2006 02:00,2006,9,2,Autumn,Indonesia,Central Kalimantan,-0.789275,113.921327,Oval,300.0,159.663511028652,ship object was landed at the center of tol road approx 60 km from Jakarta to Cikampek in Dawuan place
125,2/1/2007,12/31/2006 23:15,2006,12,23,Winter,Philippines,Eastern Manila District,14.65073,121.102855,Circle,9900.0,18.1603716762891,Sighting over Quezon City Philippines during midnight of December 31&#44 2006
126,10/30/2006,8/12/2006 22:30,2006,8,22,Summer,Philippines,Zamboanga del Norte,8.583333,123.333333,Disk,300.0,83.5412804677377,25 UFO&#39s in dipolog
127,7/16/2006,06/22/2006 23:10,2006,6,23,Summer,Singapore,Singapore,1.352083,103.819836,Other,600.0,8.0569022966556,Aurora-like mysterious object floating in the sky.
128,7/16/2006,06/22/2006 23:10,2006,6,23,Summer,Singapore,Singapore,1.352083,103.819836,Disk,240.0,8.0569022966556,the black  ufo
129,12/14/2006,12/13/2006 23:00,2006,12,23,Winter,Thailand,Bangkok,13.727896,100.524123,Changing,7200.0,22.3418677926901,It looked light an ordinary bright star..which suddenly caught my eye as it sped in toward earth at about 80 degrees and hovered
130,5/15/2006,03/22/2006 23:30,2006,3,23,Spring,Thailand,Phuket Province,7.843899,98.293619,Changing,900.0,30.0332302160239,I took a 9 min video of more than 25 lights traveling E over Phuket Island&#44 Thailand.  ((NUFORC Note:  Possible lanterns??  PD))
131,1/10/2009,1/1/2007 09:00,2007,1,9,Winter,Philippines,Southern Manila District,14.537752,121.001379,Disk,60.0,3.7173886044263904,Strange disk shaped object hovering at the side of a building in Manila&#44 Philippines.
132,4/27/2007,03/17/2007 15:30,2007,3,15,Spring,Philippines,Batangas,13.756465,121.058308,Disk,120.0,23.2205473674099,white round object flew from the open sky into the clouds and disappeared
133,6/12/2007,5/12/2007 19:00,2007,5,19,Spring,Philippines,Balulang,8.454236,124.631898,Light,630.0,5.02997833027896,Lights ove Cagayan de Oro&#44 Philippines
134,2/1/2007,1/7/2007 19:40,2007,1,19,Winter,Singapore,Singapore,1.352083,103.819836,Sphere,10.0,8.0569022966556,A bright light across the sky took many Singaporeans by surprise on Sunday evening.
